LotShape,Utilities,LandSlope,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,OverallQual,OverallCond
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,TA,RFn,TA,TA,Y,NA,8,6
IR1,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,6
IR1,AllPub,Gtl,TA,TA,TA,Gd,Gd,BLQ,Unf,Fa,Y,SBrkr,TA,Typ,Gd,Fin,TA,TA,P,NA,6,5
IR1,AllPub,Gtl,Gd,Gd,Gd,Gd,No,GLQ,Rec,Gd,Y,SBrkr,Gd,Typ,TA,RFn,Gd,TA,Y,NA,7,7
IR1,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Rec,TA,Y,SBrkr,TA,Typ,TA,Unf,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,TA,TA,Gd,Fa,No,ALQ,LwQ,TA,Y,SBrkr,TA,Min2,TA,Fin,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,Gd,Av,ALQ,Unf,TA,Y,SBrkr,Gd,Typ,Gd,Unf,TA,TA,Y,NA,6,7
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,TA,Y,SBrkr,TA,Typ,TA,Unf,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,Gd,Gd,TA,TA,No,ALQ,BLQ,Ex,Y,SBrkr,Gd,Typ,Gd,Unf,TA,TA,Y,NA,5,5
IR1,AllPub,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Fin,TA,TA,Y,NA,9,5
Reg,AllPub,Gtl,Gd,TA,TA,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,Fa,TA,N,NA,5,6
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Unf,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,Fa,TA,No,LwQ,Unf,Gd,Y,SBrkr,TA,Typ,Gd,Unf,Fa,TA,Y,NA,7,6
Reg,AllPub,Gtl,TA,TA,NA,NA,NA,NA,NA,Ex,Y,SBrkr,TA,Typ,Gd,RFn,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Mod,NA,Unf,TA,TA,N,NA,7,5
IR1,AllPub,Gtl,TA,TA,Fa,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,8
IR2,AllPub,Gtl,Gd,Gd,TA,TA,Mn,Unf,Unf,Ex,Y,SBrkr,Ex,Typ,TA,Unf,Ex,TA,Y,NA,10,9
IR1,AllPub,Gtl,TA,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Unf,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,Fa,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Min2,NA,Unf,Fa,Fa,N,NA,5,7
Reg,AllPub,Gtl,TA,TA,Gd,TA,Av,GLQ,Unf,TA,Y,SBrkr,TA,Typ,TA,Unf,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,Gd,TA,Ex,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Fin,TA,TA,Y,NA,8,5
Reg,AllPub,Mod,Gd,TA,Gd,Gd,No,Rec,Unf,TA,Y,SBrkr,Gd,Maj1,TA,Unf,TA,TA,Y,NA,8,8
IR1,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Gd,Y,SBrkr,Gd,Typ,NA,Fin,TA,TA,Y,NA,7,9
IR1,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Maj1,NA,Unf,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,TA,TA,TA,TA,Av,ALQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,7
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,TA,Unf,TA,TA,Y,NA,6,6
Reg,AllPub,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,Gd,Gd,TA,TA,No,GLQ,LwQ,Gd,Y,SBrkr,Gd,Typ,Ex,Unf,TA,TA,Y,Ex,8,4
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,NA,NA,NA,NA,Y,NA,6,6
Reg,AllPub,Gtl,Gd,TA,Ex,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Fin,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,NA,RFn,TA,TA,Y,NA,4,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,LwQ,TA,Y,SBrkr,TA,Typ,Fa,Unf,TA,TA,Y,NA,6,6
Reg,AllPub,Gtl,TA,Gd,Fa,TA,No,LwQ,Unf,Gd,Y,SBrkr,TA,Min1,NA,Unf,TA,TA,Y,NA,6,6
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,LwQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,7
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,NA,RFn,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,TA,Gd,TA,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Min2,TA,RFn,TA,TA,Y,NA,5,5
IR1,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Rec,TA,Y,SBrkr,TA,Typ,Po,RFn,TA,TA,Y,NA,4,5
IR1,AllPub,Mod,Gd,TA,Gd,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,TA,Typ,Gd,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,Rec,Unf,Ex,Y,SBrkr,TA,Typ,NA,RFn,TA,Gd,Y,NA,6,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,N,FuseA,TA,Typ,NA,NA,NA,NA,Y,NA,5,6
Reg,AllPub,Gtl,TA,TA,Gd,TA,Mn,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,NA,7,5
IR2,AllPub,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,5
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Fin,TA,TA,Y,NA,6,7
IR1,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,Y,SBrkr,Gd,Min1,Fa,Unf,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Mn,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Unf,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Fa,N,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,4,4
IR1,AllPub,Gtl,Gd,Gd,TA,TA,No,BLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Unf,TA,TA,Y,NA,7,9
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Fin,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,Mn,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,TA,RFn,TA,TA,Y,NA,6,6
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,LwQ,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,4,6
Reg,AllPub,Gtl,Ex,TA,Ex,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Ex,Fin,TA,TA,Y,NA,10,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,6,6
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,Fa,Unf,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,NA,RFn,TA,TA,Y,NA,6,6
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,TA,Fin,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,Po,Unf,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,Gd,Av,LwQ,ALQ,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,6,3
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,BLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,7
Reg,AllPub,Gtl,Ex,TA,Ex,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Fin,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,TA,Fa,No,LwQ,Unf,TA,Y,FuseA,TA,Typ,Gd,Unf,TA,TA,Y,NA,6,4
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,Gd,TA,TA,No,ALQ,Unf,Gd,Y,SBrkr,Gd,Typ,NA,NA,NA,NA,Y,NA,5,9
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,N,FuseA,TA,Typ,NA,Unf,Fa,TA,Y,NA,5,4
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,TA,RFn,TA,TA,Y,NA,6,6
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Fa,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,Av,GLQ,Unf,Gd,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,Fa,Fa,TA,No,Unf,Unf,Gd,N,FuseP,Fa,Typ,NA,Unf,Po,Po,Y,NA,6,8
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,TA,Unf,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
IR2,AllPub,Sev,Gd,TA,Gd,TA,Gd,Rec,Unf,Gd,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,6,7
IR1,AllPub,Gtl,TA,Po,TA,TA,No,Unf,Unf,Ex,Y,SBrkr,Fa,Mod,NA,NA,NA,NA,Y,NA,3,2
IR1,AllPub,Mod,Gd,TA,Gd,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,Gd,LwQ,ALQ,Ex,Y,SBrkr,Gd,Min1,NA,RFn,TA,TA,Y,NA,6,7
Reg,AllPub,Gtl,TA,Gd,TA,TA,No,Rec,Unf,TA,Y,SBrkr,TA,Typ,NA,RFn,TA,TA,Y,NA,5,6
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Rec,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,NA,NA,NA,NA,NA,Gd,Y,FuseA,TA,Typ,NA,Unf,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,TA,TA,TA,TA,Gd,Rec,ALQ,TA,Y,SBrkr,TA,Typ,TA,Unf,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,Gd,TA,Ex,TA,No,Unf,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Fin,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,TA,TA,Gd,Gd,Av,ALQ,Unf,TA,Y,SBrkr,TA,Typ,TA,Unf,TA,TA,Y,NA,6,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,LwQ,ALQ,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,7
IR3,AllPub,Gtl,TA,TA,Fa,TA,No,Unf,Unf,Gd,N,FuseP,TA,Typ,NA,Unf,TA,TA,N,NA,5,5
IR1,AllPub,Gtl,TA,Gd,Gd,TA,No,GLQ,LwQ,TA,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,6,6
IR1,AllPub,Gtl,TA,TA,Gd,TA,Av,GLQ,Unf,Gd,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,6,5
Reg,AllPub,Mod,TA,TA,TA,TA,No,LwQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Unf,TA,TA,Y,NA,5,8
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Rec,Ex,Y,SBrkr,TA,Typ,Gd,Fin,Ex,Ex,Y,NA,5,6
IR1,AllPub,Gtl,TA,Gd,TA,Gd,No,BLQ,Unf,TA,Y,SBrkr,TA,Typ,Fa,RFn,TA,Gd,Y,NA,6,7
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Mn,Unf,Unf,Gd,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
IR1,AllPub,Sev,TA,TA,Gd,TA,Gd,LwQ,GLQ,Ex,Y,SBrkr,TA,Mod,TA,Unf,TA,TA,Y,NA,7,7
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,8,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,LwQ,Gd,Y,SBrkr,TA,Min1,Gd,RFn,TA,TA,Y,NA,6,6
Reg,AllPub,Gtl,TA,TA,TA,TA,Gd,ALQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,7
Reg,AllPub,Gtl,Gd,Gd,TA,TA,No,Unf,Unf,Gd,N,SBrkr,Ex,Typ,NA,Unf,TA,TA,Y,NA,7,7
IR1,AllPub,Gtl,Gd,TA,Ex,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,LwQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,4,5
Reg,AllPub,Gtl,Ex,TA,Ex,TA,Gd,Unf,Unf,Ex,Y,SBrkr,Ex,Typ,Ex,Fin,TA,TA,Y,NA,9,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,BLQ,Unf,Ex,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Gd,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,7,6
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Gd,Y,SBrkr,Gd,Typ,NA,Fin,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Gd,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,6,7
IR1,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,Y,SBrkr,TA,Typ,NA,NA,NA,NA,Y,NA,4,4
IR1,AllPub,Gtl,TA,Gd,TA,TA,No,BLQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,Y,FuseA,TA,Typ,NA,Unf,TA,TA,Y,NA,6,7
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,Gd,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,Fa,TA,Fa,No,Rec,Unf,Ex,N,SBrkr,Fa,Typ,NA,NA,NA,NA,N,NA,5,6
Reg,AllPub,Gtl,TA,TA,TA,TA,No,LwQ,Unf,Gd,Y,SBrkr,TA,Min2,Gd,Unf,TA,TA,Y,NA,5,4
IR1,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Fa,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,7,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,GLQ,Unf,TA,Y,SBrkr,TA,Typ,Gd,Fin,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,TA,TA,TA,TA,Av,GLQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,6,6
Reg,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,Y,FuseA,TA,Typ,NA,Unf,TA,TA,Y,NA,5,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,BLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,Gd,TA,TA,TA,No,ALQ,Rec,Gd,Y,SBrkr,TA,Typ,Gd,Unf,TA,TA,Y,NA,6,6
Reg,AllPub,Gtl,TA,Gd,TA,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Unf,TA,TA,Y,NA,6,8
Reg,AllPub,Gtl,TA,TA,TA,TA,Mn,BLQ,Unf,TA,Y,SBrkr,TA,Typ,Gd,Unf,TA,TA,Y,NA,5,5
IR3,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Ex,Unf,TA,TA,Y,NA,7,9
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Fin,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,ALQ,Unf,Gd,Y,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,TA,Fa,TA,TA,No,Unf,Unf,TA,Y,FuseA,Fa,Typ,NA,NA,NA,NA,N,NA,6,7
IR1,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,4,5
IR1,AllPub,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Ex,Fin,TA,TA,Y,NA,9,5
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,Gd,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,Gd,TA,TA,No,ALQ,Unf,Ex,Y,SBrkr,TA,Typ,Gd,Unf,TA,TA,Y,NA,6,6
Reg,AllPub,Gtl,TA,TA,Gd,TA,Mn,Rec,Unf,TA,Y,SBrkr,TA,Typ,Gd,Unf,TA,TA,Y,NA,5,7
IR3,AllPub,Sev,TA,TA,Gd,TA,Gd,ALQ,Rec,TA,Y,SBrkr,TA,Typ,Gd,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,Gd,No,LwQ,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Unf,Fa,TA,Y,NA,7,7
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,TA,Y,SBrkr,Ex,Typ,TA,RFn,TA,TA,Y,NA,7,7
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Mod,Gd,TA,Gd,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,Av,GLQ,Unf,TA,Y,SBrkr,TA,Typ,TA,Unf,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,Ex,Gd,Av,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,9,5
IR1,AllPub,Gtl,Gd,TA,Ex,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,Gd,TA,TA,TA,Gd,LwQ,ALQ,Ex,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,Gd,TA,TA,No,ALQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Unf,Fa,TA,Y,NA,3,8
Reg,AllPub,Gtl,Gd,Gd,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,7,7
Reg,AllPub,Gtl,TA,TA,TA,TA,Av,BLQ,Unf,Po,N,FuseF,TA,Typ,NA,Unf,TA,TA,Y,NA,5,6
IR1,AllPub,Gtl,Gd,TA,Gd,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,Y,SBrkr,TA,Typ,NA,RFn,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,N,FuseA,Gd,Typ,NA,Unf,TA,TA,Y,NA,6,6
Reg,AllPub,Gtl,TA,TA,TA,TA,Mn,Unf,Unf,TA,N,SBrkr,TA,Typ,NA,Unf,Fa,Fa,N,NA,5,5
IR1,AllPub,Gtl,TA,TA,TA,TA,No,GLQ,Rec,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,4
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,Fa,Y,SBrkr,TA,Typ,NA,RFn,TA,TA,Y,NA,5,6
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,NA,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,TA,TA,Gd,TA,Gd,GLQ,Unf,Gd,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,6,5
IR1,AllPub,Sev,TA,TA,TA,TA,Gd,ALQ,BLQ,Ex,Y,SBrkr,TA,Typ,Gd,Fin,TA,TA,Y,NA,5,6
IR1,AllPub,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,9,5
